Categoria: Todas as categorias

País,Japan Earthquake: (01/01/2022 – 30/06/2023)
Singapura,100
Guam,
Brunei,
Ilha de Man,
Filipinas,54
Nova Zelândia,51
Maldivas,
Trinidad e Tobago,44
Irlanda,43
Austrália,38
Papua-Nova Guiné,
Butão,
Malta,
Líbano,34
Mianmar (Birmânia),34
Albânia,33
Mongólia,
Barein,31
Japão,31
Islândia,
Hong Kong,28
Malásia,26
Kosovo,
Maurício,
Emirados Árabes Unidos,24
Reino Unido,24
Santa Helena,
Canadá,23
Estados Unidos,22
Jamaica,
Nepal,21
Sri Lanka,19
Catar,19
Botsuana,
China,19
Zimbábue,
Porto Rico,17
Macedônia do Norte,
Namíbia,
Afeganistão,
Chipre,
Ruanda,
África do Sul,13
Kuwait,
Paquistão,12
Etiópia,
Camboja,
Laos,
Gana,
Croácia,10
Bósnia e Herzegovina,
Estônia,
Índia,9
Geórgia,
Noruega,9
Romênia,9
Luxemburgo,
Omã,
Montenegro,
Vietnã,7
Tanzânia,
Quênia,7
Bulgária,7
Lituânia,
Azerbaijão,
Dinamarca,7
Eslovênia,
Bangladesh,6
Coreia do Sul,6
Suíça,6
Grécia,6
Finlândia,6
Sérvia,6
Suécia,5
Palestina,
Países Baixos,5
Panamá,
Israel,4
Uganda,
Armênia,
Letônia,
Jordânia,
Tailândia,4
Turquia,4
Portugal,4
Costa Rica,
Líbia,
Indonésia,4
Síria,
Honduras,
Taiwan,3
Nigéria,3
Áustria,3
Iraque,
Eslováquia,
Bélgica,3
Cazaquistão,2
Tchéquia,2
Arábia Saudita,2
Equador,
República Dominicana,
El Salvador,
Hungria,
Alemanha,2
Tunísia,
Egito,2
Uzbequistão,
Peru,
Uruguai,
Polônia,1
México,1
Marrocos,
Espanha,1
Guatemala,
Itália,1
Argélia,
Chile,
França,<1
Bolívia,
Irã,<1
Rússia,<1
Colômbia,
Venezuela,
Argentina,
Ucrânia,
Brasil,<1
Ilhas Cook,
Aruba,
Santa Lúcia,
Liechtenstein,
Bielorrússia,
Lesoto,
Belize,
Bermudas,
São Cristóvão e Névis,
Macau,
São Martinho,
Quiribati,
Mônaco,
Moldávia,
Madagascar,
São Bartolomeu,
Quirguistão,
Ilhas Marshall,
Barbados,
Mali,
Bahamas,
Jersey,
Ilha Bouvet,
República Centro-Africana,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Burquina Faso,
Malaui,
Países Baixos Caribenhos,
Mayotte,
Benin,
Nova Caledônia,
Níger,
Ilha Norfolk,
Ilhas Cocos (Keeling),
Nicarágua,
Niue,
Território Britânico do Oceano Índico,
Haiti,
Ilhas Heard e McDonald,
Nauru,
Burundi,
Guiana,
Costa do Marfim,
Guiana Francesa,
Ilhas Pitcairn,
Groenlândia,
Granada,
Palau,
Antígua e Barbuda,
Guiné Equatorial,
Territórios Franceses do Sul,
Coreia do Norte,
Guiné-Bissau,
Paraguai,
Gâmbia,
Polinésia Francesa,
Antártida,
Reunião,
Guadalupe,
Guiné,
Samoa Americana,
Gibraltar,
Sudão,
Senegal,
Guernsey,
Ilhas Geórgia do Sul e Sandwich do Sul,
Camarões,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
Gabão,
San Marino,
Somália,
São Pedro e Miquelão,
Micronésia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Ilhas Faroé,
Ilhas Malvinas (Ilhas Falkland),
Fiji,
Essuatíni,
Sint Maarten,
Seicheles,
Congo - Kinshasa,
Ilhas Turcas e Caicos,
Chade,
Togo,
Saara Ocidental,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Andorra,
Eritreia,
Dominica,
Tuvalu,
Djibuti,
República do Congo,
Ilhas Cayman,
Ilha Christmas,
Ilhas Menores Distantes dos EUA,
Curaçao,
Ilhas Aland,
Cuba,
Cidade do Vaticano,
São Vicente e Granadinas,
Cabo Verde,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Comores,
Vanuatu,
Wallis e Futuna,
Samoa,
Anguila,
Iêmen,
Libéria,
Zâmbia,
Angola,
