Categoria: Todas as categorias

Semana,Hurricane Ian: (Mundo)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,<1
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,<1
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,1
2022-09-25,100
2022-10-02,10
2022-10-09,2
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,<1
2022-11-20,<1
2022-11-27,<1
2022-12-04,<1
2022-12-11,<1
2022-12-18,<1
2022-12-25,<1
2023-01-01,<1
2023-01-08,<1
2023-01-15,<1
2023-01-22,<1
2023-01-29,<1
2023-02-05,<1
2023-02-12,<1
2023-02-19,<1
2023-02-26,<1
2023-03-05,<1
2023-03-12,<1
2023-03-19,<1
2023-03-26,<1
2023-04-02,<1
2023-04-09,<1
2023-04-16,<1
2023-04-23,<1
2023-04-30,<1
2023-05-07,<1
2023-05-14,<1
2023-05-21,<1
2023-05-28,<1
2023-06-04,<1
2023-06-11,<1
2023-06-18,<1
2023-06-25,<1
