Categoria: Todas as categorias

Semana,Nigeria Flood: (Mundo)
2023-01-01,18
2023-01-08,14
2023-01-15,21
2023-01-22,23
2023-01-29,21
2023-02-05,15
2023-02-12,21
2023-02-19,11
2023-02-26,13
2023-03-05,23
2023-03-12,25
2023-03-19,16
2023-03-26,14
2023-04-02,16
2023-04-09,13
2023-04-16,16
2023-04-23,20
2023-04-30,14
2023-05-07,15
2023-05-14,21
2023-05-21,12
2023-05-28,20
2023-06-04,11
2023-06-11,14
2023-06-18,18
2023-06-25,18
2023-07-02,27
2023-07-09,13
2023-07-16,20
2023-07-23,16
2023-07-30,12
2023-08-06,13
2023-08-13,15
2023-08-20,14
2023-08-27,42
2023-09-03,31
2023-09-10,42
2023-09-17,27
2023-09-24,29
2023-10-01,21
2023-10-08,39
2023-10-15,27
2023-10-22,16
2023-10-29,10
2023-11-05,15
2023-11-12,14
2023-11-19,12
2023-11-26,16
2023-12-03,14
2023-12-10,0
2023-12-17,0
2023-12-24,10
2023-12-31,12
2024-01-07,13
2024-01-14,8
2024-01-21,12
2024-01-28,10
2024-02-04,9
2024-02-11,0
2024-02-18,11
2024-02-25,11
2024-03-03,0
2024-03-10,11
2024-03-17,12
2024-03-24,23
2024-03-31,11
2024-04-07,15
2024-04-14,25
2024-04-21,14
2024-04-28,18
2024-05-05,10
2024-05-12,14
2024-05-19,10
2024-05-26,14
2024-06-02,15
2024-06-09,12
2024-06-16,11
2024-06-23,0
2024-06-30,31
2024-07-07,15
2024-07-14,20
2024-07-21,15
2024-07-28,0
2024-08-04,9
2024-08-11,15
2024-08-18,20
2024-08-25,32
2024-09-01,22
2024-09-08,100
2024-09-15,98
2024-09-22,49
2024-09-29,36
